ID,Posted at,Screen name,Text
739116954875760640,2016-06-04 15:29:48 +0000,titovaronalda11,"Delightful, do you want spend night with me? i learn hear #EIJC16 https://t.co/ZXdpbJJbYM#5X2m1Z8PX5 https://t.co/tLUytz2DJI"
739116919337418752,2016-06-04 15:29:40 +0000,M_Mandalka,"RT @DDJ_Tools: How tagging & #annotation helps #investigative #journalism to search, collaborate & together find more: https://t.co/VDSyKrz0qG #ddj #EIJC16"
739116696846389248,2016-06-04 15:28:47 +0000,arcoutte_c,RT @meeussjes: @Defensie_BE onderaan transparantielijst over eigen bombardementen Syrië/Irak. #EIJC16 @airwars #burgerslachtoffers https://t.co/GfgWDe2Nx3
739116490813808641,2016-06-04 15:27:58 +0000,MocroAb,RT @meeussjes: @Defensie_BE onderaan transparantielijst over eigen bombardementen Syrië/Irak. #EIJC16 @airwars #burgerslachtoffers https://t.co/GfgWDe2Nx3
739116167906873344,2016-06-04 15:26:41 +0000,WinnieKamau254,RT @DDJ_Tools: Howto search with list(s) of names if they occur in very large document sets or leaks: https://t.co/PFeaWHGzCm #EIJC16 #ddj #textmining #nlp
739115933868929024,2016-06-04 15:25:45 +0000,direkt36,Prezi on @direkt36 investigation into waste of #Hungary #EU funds by @andraspe at #EIJC16 https://t.co/c94DCiBpcd https://t.co/mPOq3IqMjF
739115141481041920,2016-06-04 15:22:36 +0000,SchoofsFeed,RT @journalismfund: Graphic report of @HeidilBlake's #TennisRacket keynote. Big up for illustrator https://t.co/WdZn9X9Iz7 #EIJC16 https://t.co/uIdGN9ZtNS
739115115287617536,2016-06-04 15:22:30 +0000,petrakramer,RT @meeussjes: @Defensie_BE onderaan transparantielijst over eigen bombardementen Syrië/Irak. #EIJC16 @airwars #burgerslachtoffers https://t.co/GfgWDe2Nx3
739115108446707712,2016-06-04 15:22:28 +0000,WinnieKamau254,"RT @DDJ_Tools: How tagging & #annotation helps #investigative #journalism to search, collaborate & together find more: https://t.co/VDSyKrz0qG #ddj #EIJC16"
739114262078054401,2016-06-04 15:19:06 +0000,KristofClerix,RT @meeussjes: @Defensie_BE onderaan transparantielijst over eigen bombardementen Syrië/Irak. #EIJC16 @airwars #burgerslachtoffers https://t.co/GfgWDe2Nx3
739112637242441728,2016-06-04 15:12:39 +0000,hpiedcoq,"RT @DDJ_Tools: How tagging & #annotation helps #investigative #journalism to search, collaborate & together find more: https://t.co/VDSyKrz0qG #ddj #EIJC16"
739110788842033152,2016-06-04 15:05:18 +0000,vanchirodriguez,RT @FrejaWedenborg: Mind-blowing keynote by @cabralens on lessons from @ICIJorg & #PanamaPapers at #EIJC16 - incl. Star Trek references! https://t.co/8dBAEkQGXN
739109845601800192,2016-06-04 15:01:33 +0000,mdelrue,"Si vous pouviez arrêter de tweeter #EIJC16, ce serait gentil. Merci. https://t.co/UHCJ3XJMUs"
739108582105440256,2016-06-04 14:56:32 +0000,nekulachenkov,#EIJC16 anyone interested in cooperation on FOI requests with major Russian anti-corruption NGO?)) Write me a DM here!
739108015421415424,2016-06-04 14:54:17 +0000,vgbones,Next Data Harvest will be May 18-20 2017. #eijc16
739107832440750084,2016-06-04 14:53:33 +0000,toxicdata,"Slides for my ""toxic waste Wobbing"" tool #EIJC16 https://t.co/xz2hECvjN2"
739107663468957697,2016-06-04 14:52:53 +0000,OpenSemSearch,"RT @DDJ_Tools: How tagging & #annotation helps #investigative #journalism to search, collaborate & together find more: https://t.co/VDSyKrz0qG #ddj #EIJC16"
739107631042822144,2016-06-04 14:52:45 +0000,OpenSemSearch,RT @DDJ_Tools: Howto search with list(s) of names if they occur in very large document sets or leaks: https://t.co/PFeaWHGzCm #EIJC16 #ddj #textmining #nlp
739107413454884864,2016-06-04 14:51:53 +0000,stekhn,"RT @maartenzam: Slides for my session on Graphics beyond Bars and Lines, tomorrow at #EIJC16 https://t.co/nlf2Q6Y8fQ https://t.co/Bn8fVJoAVk"
739107248794898433,2016-06-04 14:51:14 +0000,stekhn,"RT @podehaye: Slides for my ""Personal Data Wobbing"" tool #EIJC16 https://t.co/K5qHwS6y8d"
739107195405668352,2016-06-04 14:51:01 +0000,journalistpip,RT @FrejaWedenborg: Mind-blowing keynote by @cabralens on lessons from @ICIJorg & #PanamaPapers at #EIJC16 - incl. Star Trek references! https://t.co/8dBAEkQGXN
739107179882553344,2016-06-04 14:50:58 +0000,RemB_D,"RT @stekhn: If you missed this year's #EIJC16 Dataharvest, save the date for the next Dataharvest: 18 - 21th May 2017"
739107146437136388,2016-06-04 14:50:50 +0000,ChSchweppe,RT @maartenzam: Save the date: #EIJC17 will be 18-20 May 2017 #EIJC16
739106825916829696,2016-06-04 14:49:33 +0000,RemB_D,RT @FrejaWedenborg: Mind-blowing keynote by @cabralens on lessons from @ICIJorg & #PanamaPapers at #EIJC16 - incl. Star Trek references! https://t.co/8dBAEkQGXN
739106656336945152,2016-06-04 14:48:53 +0000,RemB_D,RT @meeussjes: @Defensie_BE onderaan transparantielijst over eigen bombardementen Syrië/Irak. #EIJC16 @airwars #burgerslachtoffers https://t.co/GfgWDe2Nx3
739106526376386560,2016-06-04 14:48:22 +0000,maartenzam,Correction: May 18-21 2017 #EIJC17 #EIJC16
739106449951973376,2016-06-04 14:48:04 +0000,stekhn,"If you missed this year's #EIJC16 Dataharvest, save the date for the next Dataharvest: 18 - 21th May 2017"
739105978294079488,2016-06-04 14:46:11 +0000,nrecherche,RT @maartenzam: Save the date: #EIJC17 will be 18-20 May 2017 #EIJC16
739105978004561921,2016-06-04 14:46:11 +0000,guebartsch,RT @maartenzam: Save the date: #EIJC17 will be 18-20 May 2017 #EIJC16
739105886220615680,2016-06-04 14:45:49 +0000,HairyHand507,RT @FrejaWedenborg: Mind-blowing keynote by @cabralens on lessons from @ICIJorg & #PanamaPapers at #EIJC16 - incl. Star Trek references! https://t.co/8dBAEkQGXN
739105878943633408,2016-06-04 14:45:48 +0000,maartenzam,Save the date: #EIJC17 will be 18-20 May 2017 #EIJC16
739105322577612800,2016-06-04 14:43:35 +0000,DDJ_Tools,"How tagging & #annotation helps #investigative #journalism to search, collaborate & together find more: https://t.co/VDSyKrz0qG #ddj #EIJC16"
739105245339353088,2016-06-04 14:43:17 +0000,KerstinFirmin,"RT @maartenzam: Slides for my session on Graphics beyond Bars and Lines, tomorrow at #EIJC16 https://t.co/nlf2Q6Y8fQ https://t.co/Bn8fVJoAVk"
739104900743856129,2016-06-04 14:41:54 +0000,idesdebruyne,"RT @maartenzam: Slides for my session on Graphics beyond Bars and Lines, tomorrow at #EIJC16 https://t.co/nlf2Q6Y8fQ https://t.co/Bn8fVJoAVk"
739103946661343232,2016-06-04 14:38:07 +0000,ThomasMoreBE,RT @journalismfund: Chillaxing #EIJC16 https://t.co/6rz47SJiXA
739103768738955265,2016-06-04 14:37:25 +0000,DDJ_Tools,Howto search with list(s) of names if they occur in very large document sets or leaks: https://t.co/PFeaWHGzCm #EIJC16 #ddj #textmining #nlp
739102971326144513,2016-06-04 14:34:14 +0000,podehaye,"Slides for my ""Personal Data Wobbing"" tool #EIJC16 https://t.co/K5qHwS6y8d"
739102937511792640,2016-06-04 14:34:06 +0000,jrissane,RT @maartenzam: My lessons from ‘How to build a data desk’ #EIJC16 wth @helenabengtsson @chelm @garcirrey @alphoenix @DataKatrine https://t.co/5SaY7nvq0D
739102577611137024,2016-06-04 14:32:41 +0000,M_Mandalka,"RT @stekhn: Data journalists want to investigate, but their bosses want visualizations and interactives. Apparently a common problem in #ddj. #EIJC16"
739102515233497089,2016-06-04 14:32:26 +0000,andraspe,@gijn mentioned as a good source for information at Dataharvest #EIJC16 https://t.co/UO43rgI5oi
739102336228990976,2016-06-04 14:31:43 +0000,siddiqsbp,RT @FrejaWedenborg: Mind-blowing keynote by @cabralens on lessons from @ICIJorg & #PanamaPapers at #EIJC16 - incl. Star Trek references! https://t.co/8dBAEkQGXN
739101990588952576,2016-06-04 14:30:21 +0000,M_Mandalka,RT @Remrow: Sessions at #EIJC16 highlight that investigative (data) journalism is so much about text processing #ddj #nlp
739101525226749957,2016-06-04 14:28:30 +0000,jnwlrvn,RT @meeussjes: @Defensie_BE onderaan transparantielijst over eigen bombardementen Syrië/Irak. #EIJC16 @airwars #burgerslachtoffers https://t.co/GfgWDe2Nx3
739101245047201793,2016-06-04 14:27:23 +0000,andraspe,How you spend a nice Saturday afternoon. @ #EIJC16 https://t.co/iopbKmQsdA
739100867585056768,2016-06-04 14:25:53 +0000,pen1710,RT @nrecherche: … and Elena Erdmann @TU_Dortmund about how machine learning can shape the future of investigative journalism #EIJC16 https://t.co/CEXhEH4SlM
739099891352403968,2016-06-04 14:22:00 +0000,GuillouGrande,"RT @PauGuisado: Qué bien pinta Onodo, la herramienta de visualización de relaciones que @civio está a punto de hacer pública #EIJC16 https://t.co/h3xlKxXfmA"
739099312450375680,2016-06-04 14:19:42 +0000,idesdebruyne,RT @journalismfund: Let's take this opportunity to thank our sponsors: @vlaamseoverheid @adessium @OSFJournalism @CronosGroep @mozilla @StadMechelen <3 #EIJC16
739099279940308992,2016-06-04 14:19:34 +0000,Veleckz,RT @journalismfund: Nice surprise at the #EIJC16 Lightning Talks: a @hostwriter story supported by our Flemish @pascaldecroos project! https://t.co/Lz5cqvP9Ci
739099244834004992,2016-06-04 14:19:26 +0000,leifkramp,RT @nrecherche: … Collaborate with journalists worldwide: @Veleckz @hostwriter at #EIJC16 Lightning Talks https://t.co/mXQWVCw623 … https://t.co/6XCHIZCpI6
739099065888178178,2016-06-04 14:18:43 +0000,rositoar,RT @cabralens: Sooo proud of the (growing number of) data journalists behind #PanamaPapers and how we collaborated! #EIJC16 #ddj https://t.co/v7ksIoBr81
739098795510779905,2016-06-04 14:17:39 +0000,seecmb,"RT @maartenzam: Slides for my session on Graphics beyond Bars and Lines, tomorrow at #EIJC16 https://t.co/nlf2Q6Y8fQ https://t.co/Bn8fVJoAVk"
739098624764870656,2016-06-04 14:16:58 +0000,Club_Insolito,RT @FrejaWedenborg: Mind-blowing keynote by @cabralens on lessons from @ICIJorg & #PanamaPapers at #EIJC16 - incl. Star Trek references! https://t.co/8dBAEkQGXN
739098573552242689,2016-06-04 14:16:46 +0000,ICIJorg,RT @nrecherche: .@mcaruanagalizia & @cabralens at #EIJC16 about tools behind #PanamaPapers – Soon at #nr16: https://t.co/38NFB2hbFN https://t.co/iSKc36h3nu
739098573527089153,2016-06-04 14:16:46 +0000,RyleGerard,RT @nrecherche: .@mcaruanagalizia & @cabralens at #EIJC16 about tools behind #PanamaPapers – Soon at #nr16: https://t.co/38NFB2hbFN https://t.co/iSKc36h3nu
739098494586212353,2016-06-04 14:16:27 +0000,PerAJohansen,"Some of the ""superwomans"" of investigative journalism at #EIJC16: Inspired by Mar, Miranda, Helena and Heidi.Thanks! https://t.co/vGSA6E350W"
739098490442121216,2016-06-04 14:16:26 +0000,YCabreraOC,"RT @cijournalism: ""Data Journalism is here to stay and global collaboration is the only way"" great keynote from @cabralens #EIJC16 https://t.co/SdqKmNGX8z"
